图片ID,种族,职业,提示词
15,人类,法师,"human girl, blonde hair, short hair, hime cut, long bangs, delicate hair ornament, blue eyes, athletic build, (medium breasts:1.2), arcane purple scheme, revealing mage attire, sheer embroidered robe, arcane sigils, crystal staff, floating grimoire, cropped velvet cape, lace inner layers, rune earrings, waist chains, talisman necklace, seductive arcane jewelry, spell pouches, focused, reading, silver forest, starlight, mystical, arcane purple scheme, looking_ahead, wide_shot, from_side, elegant composition,"
16,人类,医师,"human girl, blonde hair, short hair, disheveled hair, asymmetric bangs, streaked hair, brown eyes, athletic build, (medium breasts:1.2), healing green scheme, alluring healer robes, revealing medical sash, herb pouch, healing crystals, bandages, medicine bottles, treatment tools, white gloves, medical choker, healing accessories, provocative therapeutic ornaments, healing crystal pendant, focused, standing, village, soft light, warm, healing green scheme, facing_away, full_shot, from_side, aerial,"
17,人类,吟游诗人,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, curly hair, swept bangs, streaked hair, green eyes, athletic build, (medium breasts:1.2), colorful scheme, seductive bard outfit, revealing colorful cloak, musical instrument, feathered hat, slit performance costume, song sheets, lute strings, artistic accessories, performance jewelry, alluring entertainer ornaments, decorative bells, silk scarves, smiling, dancing, village square, stage light, lively, colorful scheme, head_tilt, medium_shot, front view, elegant composition,"
18,人类,骑士,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, hime cut, delicate hair ornament, rainbow eyes, athletic build, (medium breasts:1.2), blue-gold color scheme, seductive paladin set, polished mail, greatsword, reliquary, heraldic cape, white gloves, sash, brooch, circlet, prayer book, alluring holy ornaments, blessed pendant, noble, standing, castle, sunlight, divine, blue-gold color scheme, looking_ahead, full_shot, front view, symmetric composition,"
19,人类,牧师,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, disheveled hair, air bangs, flower accessory, purple eyes, athletic build, (medium breasts:1.2), white-gold color scheme, revealing holy vestments, slit blessed robes, ceremonial attire, gilded crosier, holy symbol, rosary beads, sheer stole, embroidered trim, reliquary pendant, lace gloves, provocative sacred accessories, incense thurible, gentle, meditating, chapel, divine light, divine, white-gold color scheme, facing_away, profile, from_below, aerial,"
20,人类,女王,"human girl, blonde hair, short hair, wavy hair, swept bangs, ribbon, blue eyes, athletic build, (medium breasts:1.2), imperial crimson scheme, seductive imperial regalia, ornate crown, royal scepter, revealing ermine cape, sheer silk gown, golden embroidery, jeweled waist chain, royal rings, lace gloves, pearl choker, alluring imperial ornaments, royal seal, majestic, walking gracefully, royal gardens, chandelier light, regal, imperial crimson scheme, head_tilt, wide_shot, dutch angle, elegant composition,"
21,人类,公主,"human girl, blonde hair, short hair, forehead, centre parting bangs, delicate hair ornament, blue eyes, athletic build, (medium breasts:1.2), rose-gold color scheme, alluring ballroom gown, sparkling tiara, revealing elegant dress, silk fan, dance invitation, pearl necklace, satin slippers, elbow gloves, jeweled hairpin, lace petticoat, seductive noble ornaments, masquerade mask, cheerful, sitting elegantly, great hall, soft light, romantic, rose-gold color scheme, sideways_glance, wide_shot, from_side, rule of thirds,"
22,人类,王后,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, hime cut, centre parting bangs, jeweled hairpin, blue eyes, athletic build, (medium breasts:1.2), elegant burgundy scheme, alluring consort gown, ornate crown, revealing royal mantle, slit ceremonial dress, golden embroidery, royal jewels, silk gloves, court waist chain, regal choker, formal accessories, seductive queenly ornaments, royal fan, dignified, standing gracefully, royal palace, sunlight, dignified, elegant burgundy scheme, looking_to_the_side, full_shot, dutch angle, symmetric composition,"
23,人类,战士,"human girl, blonde hair, short hair, hime cut, centre parting bangs, streaked hair, brown eyes, athletic build, (medium breasts:1.2), battle-worn scheme, alluring warrior gear, polished breastplate, engraved pauldrons, greatsword, dagger, cloak clasp, slit heraldic tabard, belt chains, thigh straps, cape, seductive knightly ornaments, weapon maintenance kit, fierce, battle ready, battlefield, flame light, intense, battle-worn scheme, eye-contact, upper_body, foreshortening, symmetric composition,"
24,人类,学者,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, curly hair, tiara, purple eyes, athletic build, (medium breasts:1.2), scholarly brown scheme, historian outfit, archive robes, chronicle scrolls, ancient maps, historical artifacts, dating equipment, preservation tools, period jewelry, academic medals, legacy ornaments, timeline charts, restoration kit, gentle, reading, magical academy, sunlight, scholarly, scholarly brown scheme, eye-contact, medium_shot, dynamic_angle, rule of thirds,"
25,人类,商人,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, curly hair, centre parting bangs, delicate hair ornament, brown eyes, athletic build, (medium breasts:1.2), obsidian-purple color scheme, revealing merchant attire, tight traveling gear, silk garments, coin pouch, ledger, signet ring, scarf, satchel, chain purse, seal stamp, alluring trade accessories, merchant scales, gentle, daily life pose, trading post, sunlight, busy, obsidian-purple color scheme, looking_ahead, wide_shot, foreshortening, turn_one's_back,"
26,人类,盗贼,"human girl, blonde hair, short hair, disheveled hair, streaked hair, golden eyes, athletic build, (medium breasts:1.2), dark color scheme, phantom thief attire, acrobatic gear, silk grappling rope, calling card, rooftop running shoes, dramatic cloak, gentleman thief accessories, heist plans, escape routes, theatrical ornaments, signature mask, trophy collection, cold, sneaking, dark forest, moonlight, mysterious, dark color scheme, looking_outside, medium_shot, from_side, rule of thirds,"
27,人类,教师,"human girl, blonde hair, short hair, curly hair, centre parting bangs, jeweled hairpin, blue eyes, athletic build, (medium breasts:1.2), scholarly beige scheme, seductive educator attire, scholarly chemise, fitted robe, teaching materials, chalk, slate eraser, student records, reading spectacles, academy emblem, academic jewelry, alluring intellectual ornaments, attendance scroll, gentle, teaching pose, study chamber, study light, peaceful, scholarly beige scheme, head_down, full_shot, foreshortening, rule of thirds,"
28,人类,女仆,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, hair between eyes, crossed bangs, jeweled hairpin, red eyes, athletic build, (medium breasts:1.2), white-black color scheme, alluring head maid attire, cropped formal apron, slit long dress, service cap, white gloves, hourglass pendant, key ring, silver tray, service brooch, service accessories, provocative professional ornaments, duster, gentle, cleaning pose, manor, indoor light, domestic, white-black color scheme, head_tilt, panorama, front view, elegant composition,"
29,人类,法师,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, bob cut, centre parting bangs, tiara, pink eyes, curvy build, huge breasts, arcane purple scheme, alluring sorceress set, sheer satin robe, gilded trims, ornate wand, tome with clasps, slit brocade cape, beaded cords, gemstone rings, arcane brooch, spell components, provocative mystical ornaments, ritual accessories, focused, reading, library, magical light, magical, arcane purple scheme, looking_to_the_side, portrait, dynamic_angle, elegant composition,"
30,人类,医师,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, forehead, asymmetric bangs, tiara, rainbow eyes, curvy build, huge breasts, green-white color scheme, seductive apothecary dress, cropped linen apron, herb satchel, healing potions, medical instruments, leather gloves, healing amulet, treatment kit, medicinal accessories, alluring care ornaments, mortar and pestle, focused, examining, sacred garden, sunlight, peaceful, green-white color scheme, looking_ahead, profile, cinematic_angle, elegant composition,"
31,人类,吟游诗人,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, hime cut, streaked hair, heart-shaped eyes, curvy build, huge breasts, rainbow color scheme, provocative performer dress, flowing ribbons, hand drums, tambourine, dance veils, jingling anklets, performance makeup, stage jewelry, colorful sashes, entertainment props, alluring showman accessories, feather fans, cheerful, performing pose, village square, sunlight, lively, rainbow color scheme, looking_back, wide_shot, from_below, rule of thirds,"
32,人类,骑士,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, forehead, crossed bangs, tiara, pink eyes, curvy build, huge breasts, blue-gold color scheme, torn plate armor, heraldic cut-out surcoat, ornate shield, rapier, cape, plume helm, waist straps, engraved vambraces, silk scarf, crest medallion, alluring chivalric accessories, sword belt, noble, standing, castle, divine light, epic, blue-gold color scheme, looking_up, upper_body, from_above, turn_one's_back,"
33,人类,牧师,"human girl, blonde hair, short hair, hair between eyes, streaked hair, red eyes, curvy build, huge breasts, white-gold color scheme, alluring blessed vestments, white silk robes, golden cross, sacred chalice, holy texts, ceremonial candles, silver chains, divine jewelry, prayer shawl, sacred relics, seductive clerical ornaments, blessing oils, gentle, casting, sacred garden, moonlight, peaceful, white-gold color scheme, facing_away, profile, cinematic_angle, symmetric composition,"
34,人类,女王,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, wavy hair, air bangs, tiara, purple eyes, curvy build, huge breasts, white-gold color scheme, alluring sovereign attire, golden circlet, ceremonial rod, revealing brocade robe, royal insignia, sheer silk lining, jeweled clasp, formal gloves, royal choker, court ornaments, provocative majestic accessories, throne cushion, majestic, sitting regally, royal gardens, sunlight, luxurious, white-gold color scheme, gradient, full_shot, foreshortening, aerial,"
35,人类,公主,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, messy hair, delicate hair ornament, heart-shaped eyes, curvy build, huge breasts, rose-gold color scheme, revealing princess gown, delicate tiara, slit fairy tale dress, silk ribbons, lace trim, pearl accessories, satin gloves, flower crown, jeweled brooch, court slippers, alluring innocent ornaments, butterfly pins, elegant, sitting elegantly, great hall, soft light, dreamy, rose-gold color scheme, eye-contact, upper_body, dynamic_angle, elegant composition,"
36,人类,王后,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, curly hair, long bangs, ribbon, pink eyes, curvy build, huge breasts, royal purple color scheme, provocative court regalia, jeweled diadem, revealing state robe, slit formal gown, silver threading, royal brooch, ceremonial bracers, court gloves, pendant choker, palace jewelry, alluring dignified accessories, scepter ornament, majestic, standing gracefully, royal palace, royal lighting, regal, royal purple color scheme, facing_away, full_shot, from_side, aerial,"
37,人类,战士,"human girl, blonde hair, short hair, hair between eyes, crossed bangs, ribbon, golden eyes, curvy build, huge breasts, iron-blood scheme, revealing heavy armor, reinforced plate, battle axe, shield, war banner, metal boots, armored gloves, sword belt, combat accessories, warrior insignia, alluring militant ornaments, victory medals, fierce, standing, royal palace, sunlight, epic, iron-blood scheme, stare, cowboy_shot, dynamic_angle, symmetric composition,"
38,人类,学者,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, forehead, asymmetric bangs, jeweled hairpin, pink eyes, curvy build, huge breasts, blue-gold color scheme, alluring librarian attire, scholarly vest, revealing chemise, archive tools, catalog books, magnifying lens, leather gloves, reading spectacles, book strap, academic jewelry, seductive intellectual ornaments, library seal, focused, writing, study room, candlelight, peaceful, blue-gold color scheme, looking_up, full_shot, front view, turn_one's_back,"
39,人类,商人,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, bob cut, centre parting bangs, feather accent, pink eyes, curvy build, huge breasts, obsidian-purple color scheme, underground trader outfit, concealed goods, smuggling pouches, illegal trade items, secret contacts list, coded ledger, hidden compartments, black market tokens, contraband seals, shadowy business tools, forbidden merchandise, discrete accessories, confident, daily life pose, marketplace, sunlight, peaceful, obsidian-purple color scheme, eyeball, panorama, from_side, turn_one's_back,"
40,人类,盗贼,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, curly hair, asymmetric bangs, flower accessory, blue eyes, curvy build, huge breasts, dark color scheme, phantom thief attire, acrobatic gear, silk grappling rope, calling card, rooftop running shoes, dramatic cloak, gentleman thief accessories, heist plans, escape routes, theatrical ornaments, signature mask, trophy collection, sly, crouching, dark forest, shadow, tense, dark color scheme, head_down, full_shot, cinematic_angle, symmetric composition,"
41,人类,教师,"human girl, (blonde hair:1.2), blonde to golden gradient hair, short hair, straight hair, blunt bangs, ahoge, purple eyes, curvy build, huge breasts, blue-white color scheme, military instructor gear, tactical teaching uniform, strategy boards, combat training manual, war game pieces, drill equipment, tactical maps, battlefield simulation tools, training whistle, military medals, discipline ornaments, rank insignia, focused, explaining, library, sunlight, peaceful, blue-white color scheme, looking_ahead, portrait, foreshortening, turn_one's_back,"
42,人类,女仆,"human girl, blonde hair, short hair, hime cut, air bangs, silk bow, red eyes, curvy build, huge breasts, classic maid scheme, aristocratic servant outfit, luxury maid dress, high-class service tools, social event accessories, noble etiquette implements, elegant serving ware, sophisticated service badge, refined slippers, aristocratic jewelry, banquet assistance tools, grace ornaments, formal event gear, obedient, standing, village, indoor light, peaceful, classic maid scheme, eyeball, upper_body, front view, symmetric composition,"
43,人类,法师,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, bob cut, ribbon, rainbow eyes, petite build, small breasts, silver-blue color scheme, transparent silk robes, revealing arcane garments, wizard fascinator, ornate staff, spellbook, glowing runes, sheer gloves, exposed sash, jeweled pendant, mystical accessories, floating crystals, magic circles, focused, casting, stellar tower, magical light, mystical, silver-blue color scheme, facing_away, cowboy_shot, from_above, turn_one's_back,"
44,人类,医师,"human girl, silver hair, short hair, forehead, blunt bangs, braid detail, golden eyes, petite build, small breasts, green-white color scheme, alluring healer robes, revealing medical sash, herb pouch, healing crystals, bandages, medicine bottles, treatment tools, white gloves, medical choker, healing accessories, provocative therapeutic ornaments, healing crystal pendant, caring, healing pose, sacred garden, soft light, warm, green-white color scheme, eyeball, medium_shot, from_above, elegant composition,"
45,人类,吟游诗人,"human girl, silver hair, short hair, hime cut, crossed bangs, streaked hair, green eyes, petite build, small breasts, colorful scheme, seductive bard outfit, revealing colorful cloak, musical instrument, feathered hat, slit performance costume, song sheets, lute strings, artistic accessories, performance jewelry, alluring entertainer ornaments, decorative bells, silk scarves, artistic, performing pose, tavern, sunlight, peaceful, colorful scheme, looking_to_the_side, upper_body, dutch angle, aerial,"
46,人类,骑士,"human girl, silver hair, short hair, curly hair, blunt bangs, tiara, purple eyes, petite build, small breasts, blue-gold color scheme, revealing tournament armor, polished cuirass, lance, buckler, sash, embroidered cape, plume, signet ring, scabbard, chain belt, seductive knight ornaments, tournament favor, confident, standing, starlit plains, sunlight, romantic, blue-gold color scheme, head_tilt, portrait, from_side, rule of thirds,"
47,人类,牧师,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, wavy hair, swept bangs, ribbon, brown eyes, petite build, small breasts, silver-blue color scheme, alluring blessed vestments, white silk robes, golden cross, sacred chalice, holy texts, ceremonial candles, silver chains, divine jewelry, prayer shawl, sacred relics, seductive clerical ornaments, blessing oils, calm, meditating, starlit plains, starlight, peaceful, silver-blue color scheme, looking_away, panorama, from_side, rule of thirds,"
48,人类,女王,"human girl, silver hair, short hair, wavy hair, centre parting bangs, streaked hair, purple eyes, petite build, small breasts, royal purple color scheme, alluring sovereign attire, golden circlet, ceremonial rod, revealing brocade robe, royal insignia, sheer silk lining, jeweled clasp, formal gloves, royal choker, court ornaments, provocative majestic accessories, throne cushion, majestic, walking gracefully, royal gardens, sunlight, luxurious, royal purple color scheme, head_tilt, upper_body, foreshortening, rule of thirds,"
49,人类,公主,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, messy hair, swept bangs, ahoge, brown eyes, petite build, small breasts, pastel pink scheme, seductive garden dress, floral tiara, sheer pastel gown, ribbon waist chain, embroidered flowers, pearl choker, lace gloves, hair ribbons, delicate jewelry, garden accessories, provocative youthful ornaments, rose bouquet, cheerful, walking gracefully, great hall, soft light, dreamy, pastel pink scheme, eye-contact, upper_body, from_above, symmetric composition,"
50,人类,王后,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, hair between eyes, jeweled hairpin, purple eyes, petite build, small breasts, elegant burgundy scheme, alluring consort gown, ornate crown, revealing royal mantle, slit ceremonial dress, golden embroidery, royal jewels, silk gloves, court waist chain, regal choker, formal accessories, seductive queenly ornaments, royal fan, majestic, sitting regally, palace garden, royal lighting, regal, elegant burgundy scheme, sideways_glance, full_shot, from_side, rule of thirds,"
51,人类,战士,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, forehead, air bangs, tiara, golden eyes, petite build, small breasts, iron-blood scheme, alluring warrior gear, polished breastplate, engraved pauldrons, greatsword, dagger, cloak clasp, slit heraldic tabard, belt chains, thigh straps, cape, seductive knightly ornaments, weapon maintenance kit, fierce, battle ready, castle, sunlight, epic, iron-blood scheme, looking_to_the_side, medium_shot, dynamic_angle, elegant composition,"
52,人类,学者,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, hime cut, silk bow, heart-shaped eyes, petite build, small breasts, blue-gold color scheme, arcane researcher attire, mystical robes, ancient tome, relic analysis tools, magic detection devices, archaeological notes, cryptic symbols, enchanted spectacles, mystic jewelry, esoteric accessories, divination instruments, rune decoder, calm, writing, magical academy, candlelight, peaceful, blue-gold color scheme, head_down, full_shot, foreshortening, turn_one's_back,"
53,人类,商人,"human girl, silver hair, short hair, wavy hair, long bangs, streaked hair, rainbow eyes, petite build, small breasts, gold-brown color scheme, maritime merchant attire, naval trade robes, shipping manifests, fleet documents, exotic goods, overseas treasures, sea charts, port authority seals, maritime jewelry, ocean trade badges, import certificates, cargo samples, smiling, negotiating, tavern, sunlight, peaceful, gold-brown color scheme, looking_to_the_side, full_shot, dutch angle, rule of thirds,"
54,人类,盗贼,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, curly hair, centre parting bangs, flower accessory, rainbow eyes, petite build, small breasts, dark color scheme, assassin outfit, deadly hidden blades, poison vials, contract scrolls, target dossiers, silent kill tools, shadow walk accessories, death dealer ornaments, blood payment coins, elimination proof, lethal jewelry, quick escape gear, cold, sneaking, village, shadow, mysterious, dark color scheme, head_down, profile, from_side, turn_one's_back,"
55,人类,教师,"human girl, silver hair, short hair, hair between eyes, blunt bangs, silk bow, brown eyes, petite build, small breasts, scholarly beige scheme, noble tutor attire, refined teaching robes, etiquette manuals, aristocratic lesson plans, deportment tools, cultural education materials, high society accessories, sophisticated jewelry, elegant teaching aids, nobility crest, refinement ornaments, grace training implements, gentle, standing, library, study light, peaceful, scholarly beige scheme, looking_away, wide_shot, cinematic_angle, aerial,"
56,人类,女仆,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, curly hair, streaked hair, heart-shaped eyes, petite build, small breasts, classic maid scheme, aristocratic servant outfit, luxury maid dress, high-class service tools, social event accessories, noble etiquette implements, elegant serving ware, sophisticated service badge, refined slippers, aristocratic jewelry, banquet assistance tools, grace ornaments, formal event gear, gentle, cleaning pose, manor, indoor light, domestic, classic maid scheme, looking_up, cowboy_shot, foreshortening, aerial,"
57,人类,法师,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, curly hair, asymmetric bangs, delicate hair ornament, rainbow eyes, athletic build, (medium breasts:1.2), violet color scheme, transparent silk robes, revealing arcane garments, wizard fascinator, ornate staff, spellbook, glowing runes, sheer gloves, exposed sash, jeweled pendant, mystical accessories, floating crystals, magic circles, focused, meditating, magical academy, magical light, magical, violet color scheme, looking_outside, profile, from_side, symmetric composition,"
58,人类,医师,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, messy hair, asymmetric bangs, ribbon, blue eyes, athletic build, (medium breasts:1.2), medical white color scheme, alluring healer robes, revealing medical sash, herb pouch, healing crystals, bandages, medicine bottles, treatment tools, white gloves, medical choker, healing accessories, provocative therapeutic ornaments, healing crystal pendant, gentle, examining, sacred garden, soft light, peaceful, medical white color scheme, looking_outside, panorama, foreshortening, symmetric composition,"
59,人类,吟游诗人,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, curly hair, blunt bangs, delicate hair ornament, heart-shaped eyes, athletic build, (medium breasts:1.2), colorful scheme, seductive bard outfit, revealing colorful cloak, musical instrument, feathered hat, slit performance costume, song sheets, lute strings, artistic accessories, performance jewelry, alluring entertainer ornaments, decorative bells, silk scarves, smiling, performing pose, village square, stage light, lively, colorful scheme, looking_up, profile, foreshortening, aerial,"
60,人类,骑士,"human girl, silver hair, short hair, messy hair, centre parting bangs, silk bow, heart-shaped eyes, athletic build, (medium breasts:1.2), white-gold color scheme, revealing tournament armor, polished cuirass, lance, buckler, sash, embroidered cape, plume, signet ring, scabbard, chain belt, seductive knight ornaments, tournament favor, confident, praying, sacred garden, divine light, divine, white-gold color scheme, gradient, portrait, from_side, rule of thirds,"
61,人类,牧师,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, straight hair, feather accent, green eyes, athletic build, (medium breasts:1.2), holy white scheme, alluring blessed vestments, white silk robes, golden cross, sacred chalice, holy texts, ceremonial candles, silver chains, divine jewelry, prayer shawl, sacred relics, seductive clerical ornaments, blessing oils, calm, blessing, sacred garden, starlight, peaceful, holy white scheme, looking_afar, panorama, from_above, aerial,"
62,人类,女王,"human girl, (silver hair:1.2), silver to white gradient hair, short hair, wavy hair, centre parting bangs, flower accessory, red eyes, athletic build, (medium breasts:1.2), royal purple color scheme, seductive imperial regalia, ornate crown, royal scepter, revealing ermine cape, sheer silk gown, golden embroidery, jeweled waist chain, royal rings, lace gloves, pearl choker, alluring imperial ornaments, royal seal, commanding, walking gracefully, royal palace, sunlight, luxurious, royal purple color scheme, looking_up, upper_body, from_side, elegant composition,"
63,人类,公主,"human girl, silver hair, short hair, curly hair, long bangs, silk bow, blue eyes, athletic build, (medium breasts:1.2), pastel pink scheme, seductive garden dress, floral tiara, sheer pastel gown, ribbon waist chain, embroidered flowers, pearl choker, lace gloves, hair ribbons, delicate jewelry, garden accessories, provocative youthful ornaments, rose bouquet, innocent, sitting elegantly, castle, sunlight, romantic, pastel pink scheme, sideways_glance, wide_shot, front view, symmetric composition,"
64,人类,王后,"human girl, silver hair, short hair, forehead, asymmetric bangs, streaked hair, rainbow eyes, athletic build, (medium breasts:1.2), elegant burgundy scheme, seductive ceremonial attire, queen's crown, revealing velvet robe, imperial train, precious gems, golden chains, silk undergarments, royal rings, pearl jewelry, court accessories, alluring majestic ornaments, ermine trim, majestic, standing gracefully, royal palace, sunlight, regal, elegant burgundy scheme, sideways_glance, cowboy_shot, dutch angle, turn_one's_back,"
